"trend","symbol","n_period","l_period","date","target","pred_final_avg","pred_final"
"bullish","AAPL",4,1,2020-03-18,"No",0.627318851315201,1
"bullish","AAPL",4,1,2020-03-19,"No",0.893347920339583,1
"bullish","AAPL",4,1,2020-03-20,"Yes",0.708297593287165,1
"bullish","AAPL",4,1,2020-03-23,"Yes",0.577910758462388,1
"bullish","AAPL",4,1,2020-03-24,"Yes",0.536616293180404,1
"bullish","AAPL",4,1,2020-03-25,"Yes",0.484902409858356,0
"bullish","AAPL",4,1,2020-03-26,"No",0.67556392918161,1
"bullish","AAPL",4,1,2020-03-27,"No",0.809591456386083,1
"bullish","AAPL",4,1,2020-03-30,"No",0.51949013632786,1
"bullish","AAPL",4,1,2020-03-31,"Yes",0.860524344850895,1
"bullish","AAPL",4,1,2020-04-01,"Yes",0.857192497201459,1
"bullish","AAPL",4,1,2020-04-02,"Yes",0.877029234730096,1
"bullish","AAPL",4,1,2020-04-03,"Yes",0.865032859634107,1
"bullish","AAPL",4,1,2020-04-06,"Yes",0.590281223188775,1
"bullish","AAPL",4,1,2020-04-07,"Yes",0.813961626502817,1
"bullish","AAPL",4,1,2020-04-08,"Yes",0.11790038284299,0
"bullish","AAPL",4,1,2020-04-09,"Yes",0.145294949105809,0
"bullish","AAPL",4,1,2020-04-13,"Yes",0.079346590538033,0
"bullish","AAPL",4,1,2020-04-14,"No",0.0655366669604625,0
"bullish","AAPL",4,1,2020-04-15,"No",0.0708560237632108,0
"bullish","AAPL",4,1,2020-04-16,"No",0.0765528914414927,0
"bullish","AAPL",4,1,2020-04-17,"No",0.31758195577586,0
"bullish","AAPL",4,1,2020-04-20,"No",0.115373035950898,0
"bullish","AAPL",4,1,2020-04-21,"Yes",0.804007416727553,1
"bullish","AAPL",4,1,2020-04-22,"No",0.702583163144413,1
"bullish","AAPL",4,1,2020-04-23,"Yes",0.141553507587435,0
"bullish","AAPL",4,1,2020-04-24,"Yes",0.108230424006928,0
"bullish","AAPL",4,1,2020-04-27,"No",0.0730302939164009,0
"bullish","AAPL",4,1,2020-04-28,"Yes",0.201658486239089,0
"bullish","AAPL",4,1,2020-04-29,"Yes",0.0806540240593971,0
"bullish","AAPL",4,1,2020-04-30,"No",0.100255084602151,0
"bullish","AAPL",4,1,2020-05-01,"Yes",0.0695220557436135,0
"bullish","AAPL",4,1,2020-05-04,"Yes",0.0726922967244195,0
"bullish","AAPL",4,1,2020-05-05,"Yes",0.0624956811617416,0
"bullish","AAPL",4,1,2020-05-06,"Yes",0.0732088918436498,0
"bullish","AAPL",4,1,2020-05-07,"No",0.0702186467680532,0
"bullish","AAPL",4,1,2020-05-08,NA,0.095344986315475,0
"bullish","AAPL",4,1,2020-05-11,NA,0.165766363239726,0
"bullish","AAPL",4,1,2020-05-12,NA,0.0997366629064931,0
"bullish","AAPL",4,1,2020-05-13,NA,0.0756305216019964,0
"bullish","AAPL",5,1,2020-01-03,"Yes",0.0737514674094723,0
"bullish","AAPL",5,1,2020-01-06,"Yes",0.0836372509268245,0
"bullish","AAPL",5,1,2020-01-07,"Yes",0.0739511946854228,0
"bullish","AAPL",5,1,2020-01-08,"No",0.0726645868363122,0
"bullish","AAPL",5,1,2020-01-09,"No",0.0894714096988263,0
"bullish","AAPL",5,1,2020-01-10,"No",0.087102083019109,0
"bullish","AAPL",5,1,2020-01-13,"No",0.0720783646444004,0
"bullish","AAPL",5,1,2020-01-14,"No",0.0931313759138773,0
"bullish","AAPL",5,1,2020-01-15,"No",0.31073380213802,0
"bullish","AAPL",5,1,2020-01-16,"No",0.121820181548774,0
"bullish","AAPL",5,1,2020-01-17,"No",0.0724561669815798,0
"bullish","AAPL",5,1,2020-01-21,"No",0.189597801823895,0
"bullish","AAPL",5,1,2020-01-22,"No",0.133967429302706,0
"bullish","AAPL",5,1,2020-01-23,"No",0.174769342722409,0
"bullish","AAPL",5,1,2020-01-24,"No",0.296900704064633,0
"bullish","AAPL",5,1,2020-01-27,"No",0.26648438021289,0
"bullish","AAPL",5,1,2020-01-28,"No",0.25413448988879,0
"bullish","AAPL",5,1,2020-01-29,"No",0.222978491585692,0
"bullish","AAPL",5,1,2020-01-30,"No",0.426587074152553,0
"bullish","AAPL",5,1,2020-01-31,"No",0.320587580365458,0
"bullish","AAPL",5,1,2020-02-03,"Yes",0.292972753423757,0
"bullish","AAPL",5,1,2020-02-04,"No",0.150444044919616,0
"bullish","AAPL",5,1,2020-02-05,"No",0.136757218081456,0
"bullish","AAPL",5,1,2020-02-06,"No",0.134833403225732,0
"bullish","AAPL",5,1,2020-02-07,"No",0.159103120387893,0
"bullish","AAPL",5,1,2020-02-10,"No",0.128926777123852,0
